#Sample description: chromixs
#Sample: chromixs  c= 0 mg/ml  Code: chromixs
 2.736312e-002  2.694760e-002  1.826202e-004
 2.749377e-002  2.674481e-002  1.792553e-004
 2.762442e-002  2.673063e-002  1.828296e-004
 2.775506e-002  2.679894e-002  1.802752e-004
 2.788571e-002  2.668809e-002  1.797774e-004
 2.801636e-002  2.640593e-002  1.805048e-004
 2.814700e-002  2.654364e-002  1.774068e-004
 2.827765e-002  2.625632e-002  1.781658e-004
 2.840829e-002  2.667776e-002  1.784991e-004
 2.853894e-002  2.638258e-002  1.770842e-004
 2.866959e-002  2.661677e-002  1.786067e-004
 2.880023e-002  2.635208e-002  1.751177e-004
 2.893088e-002  2.603939e-002  1.755306e-004
 2.906153e-002  2.595005e-002  1.752322e-004
 2.919217e-002  2.602539e-002  1.745608e-004
 2.932282e-002  2.605221e-002  1.757363e-004
 2.945347e-002  2.597250e-002  1.738147e-004
 2.958411e-002  2.568204e-002  1.722317e-004
 2.971476e-002  2.576842e-002  1.735973e-004
 2.984540e-002  2.585924e-002  1.716032e-004
 2.997605e-002  2.565831e-002  1.734965e-004
 3.010670e-002  2.539664e-002  1.723133e-004
 3.023734e-002  2.562767e-002  1.698505e-004
 3.036799e-002  2.530334e-002  1.705050e-004
 3.049864e-002  2.534513e-002  1.692633e-004
 3.062928e-002  2.571923e-002  1.700941e-004
 3.075993e-002  2.570923e-002  1.712620e-004
 3.089058e-002  2.543555e-002  1.682308e-004
 3.102122e-002  2.512240e-002  1.680236e-004
 3.115187e-002  2.517840e-002  1.676895e-004
 3.128252e-002  2.502922e-002  1.661744e-004
 3.141316e-002  2.531876e-002  1.687191e-004
 3.154381e-002  2.525677e-002  1.660098e-004
 3.167445e-002  2.500633e-002  1.659339e-004
 3.180510e-002  2.537593e-002  1.658421e-004
 3.193575e-002  2.502938e-002  1.645747e-004
 3.206639e-002  2.468308e-002  1.659065e-004
 3.219704e-002  2.479524e-002  1.648206e-004
 3.232769e-002  2.470198e-002  1.632186e-004
 3.245833e-002  2.472698e-002  1.640875e-004
 3.258898e-002  2.464659e-002  1.621880e-004
 3.271963e-002  2.445273e-002  1.631667e-004
 3.285027e-002  2.477235e-002  1.635379e-004
 3.298092e-002  2.445240e-002  1.610721e-004
 3.311157e-002  2.433982e-002  1.616718e-004
 3.324221e-002  2.427679e-002  1.606442e-004
 3.337286e-002  2.404529e-002  1.600500e-004
 3.350351e-002  2.406116e-002  1.613084e-004
 3.363415e-002  2.402324e-002  1.591283e-004
 3.376480e-002  2.391042e-002  1.612809e-004
 3.389544e-002  2.371593e-002  1.610791e-004
 3.402609e-002  2.394581e-002  1.605862e-004
 3.415674e-002  2.408416e-002  1.645175e-004
 3.428738e-002  2.418492e-002  1.628543e-004
 3.441803e-002  2.423258e-002  1.637064e-004
 3.454868e-002  2.381790e-002  1.633962e-004
 3.467932e-002  2.353570e-002  1.618931e-004
 3.480997e-002  2.349471e-002  1.640949e-004
 3.494062e-002  2.380019e-002  1.623575e-004
 3.507126e-002  2.349470e-002  1.642979e-004
 3.520191e-002  2.325094e-002  1.671108e-004
 3.533256e-002  2.361146e-002  1.655871e-004
